step,t,dt,vmax,rho_min,rho_avg,rho_max,err_avg_pct,p_min,p_avg,p_max,neigh_min,neigh_avg,neigh_max
126,0.06300000000000004,0.0005,1.1237596540599355,965.9035379940547,1002.6793856583116,1019.9445663052815,0.2679385658311743,-17048.231002972672,1339.6928291558716,9972.283152640728,2,9.64,14
127,0.06350000000000004,0.0005,1.0063172203553366,978.0863051423365,1004.302073564727,1025.986464935951,0.43020735647270614,-10956.847428831736,2151.036782363531,12993.232467975531,2,9.66,14
128,0.06400000000000004,0.0005,0.8379334849783954,980.6703090689928,1005.221499728203,1029.8322442265362,0.5221499728202883,-9664.845465503618,2610.7498641014413,14916.122113268102,2,9.74,14
129,0.06450000000000004,0.0005,0.639711247663536,977.5024823795,1005.0067148988909,1032.2817747708389,0.5006714898891063,-11248.758810250023,2503.3574494455315,16140.887385419432,2,9.7,14
130,0.06500000000000004,0.0005,0.622171743106658,977.6720697098567,1003.6466393866117,1033.4793773825784,0.36466393866118013,-11163.965145071643,1823.3196933059005,16739.68869128919,2,9.74,14
131,0.06550000000000004,0.0005,0.6891961346461566,983.8183871839412,1001.6002234365852,1030.2651746940453,0.16002234365852597,-8090.80640802938,800.1117182926301,15132.58734702265,2,9.8,14
132,0.06600000000000004,0.0005,0.7434078085264806,981.9143284167004,999.6228214455177,1025.1457308650708,-0.037717855448206966,-9042.835791649793,-188.58927724103475,12572.865432535422,2,9.74,14
133,0.06650000000000005,0.0005,0.74440289564118,979.7647066139053,998.4039581565465,1020.8383474327254,-0.1596041843453428,-10117.646693047334,-798.0209217267138,10419.173716362708,2,9.74,14
134,0.06700000000000005,0.0005,0.7152483531563486,978.7101475322362,998.1807291528776,1019.5302956981208,-0.1819270847122374,-10644.926233881904,-909.6354235611867,9765.147849060384,2,9.78,14
135,0.06750000000000005,0.0005,0.7171579379800245,978.8638732983637,998.6480946212425,1022.1660571659568,-0.13519053787575125,-10568.063350818136,-675.9526893787562,11083.028582978386,2,9.74,14
136,0.06800000000000005,0.0005,0.6709788881478264,977.8688022500795,999.2484991063487,1026.9655236450465,-0.07515008936512207,-11065.598874960244,-375.75044682561054,13482.761822523229,2,9.76,14
137,0.06850000000000005,0.0005,0.8872390615880151,970.4983446591104,999.5530411755292,1025.6473620185347,-0.04469588244705916,-14750.827670444778,-223.47941223529574,12823.681009267375,2,9.82,14
138,0.06900000000000005,0.0005,0.9442988031611407,967.3986153245022,999.4669819391372,1020.6143630593696,-0.053301806086279255,-16300.692337748898,-266.50903043139647,10307.181529684784,2,9.68,14
139,0.06950000000000005,0.0005,0.7837895297033914,968.0459701907873,999.219883560149,1018.517937875433,-0.07801164398510661,-15977.014904606334,-390.05821992553314,9258.968937716474,2,9.68,14
140,0.07000000000000005,0.0005,0.7605781506614017,971.940041681183,999.1587650872768,1019.0213399124169,-0.08412349127231314,-14029.979159408525,-420.6174563615657,9510.66995620846,2,9.58,14
141,0.07050000000000005,0.0005,0.6631747591469815,972.9689102081927,999.4408528426776,1022.8677634877783,-0.05591471573225556,-13515.544895903644,-279.57357866127774,11433.881743889175,2,9.58,14
142,0.07100000000000005,0.0005,0.7465671278666898,973.379715010935,999.8876254183731,1022.5708549997253,-0.011237458162684802,-13310.1424945325,-56.18729081342408,11285.427499862635,2,9.52,14
143,0.07150000000000005,0.0005,0.7843204884959085,975.1343246732556,1000.1487845271315,1017.6306341664612,0.014878452713144839,-12432.837663372196,74.39226356572435,8815.317083230582,2,9.56,14
144,0.07200000000000005,0.0005,0.7773893839808783,974.8089846182185,999.9935697223004,1020.4808378127514,-0.0006430277699695751,-12595.50769089077,-3.215138849847699,10240.41890637568,2,9.58,14
